Player,Team,Height,Weight,MinutesPlayed,UsageRate,AssistRate,ThreePtRate,FreeThrowRate,Reb_Off_3_48,Reb_Off_2_48,Reb_Def_3_48,Reb_Def_2_48
"Kevin Huerter",ATL,201,86,2048,15.7,14.5,0.537,0.085,0.7500,0.5859,1.6641,2.5547
"Allonzo Trier",NY,196,90,1459,21.5,12.9,0.255,0.431,0.2632,0.6909,2.3687,2.6977
"Willie Cauley-Stein",SAC,213,108,2213,17.5,12.3,0.003,0.343,1.1279,2.7113,4.7718,5.3574
"Enes Kanter",NY,211,113,1128,22.9,13.1,0.047,0.276,1.7872,5.3191,4.9362,6.6809
"Wendell Carter Jr.",CHI,208,115,1110,19.1,10.7,0.086,0.302,1.0378,2.6811,3.8054,5.1459
"Frank Ntilikina",NY,198,90,904,16.6,19.5,0.408,0.106,0.2124,0.3186,1.8584,1.6991
"Zaza Pachulia",DET,211,122,878,15,14.7,0.021,0.642,1.3667,3.8815,2.3508,5.7403
"Justin Holiday",MEM,198,82,1282,16.3,7.1,0.509,0.157,0.2246,0.7114,2.0218,2.3214
"Jerami Grant",OKC,206,99,2612,15.4,4.2,0.356,0.269,0.6248,1.0291,2.4441,3.0505
"Elfrid Payton",NO,193,83,1250,18.3,33.5,0.255,0.18,0.4224,1.3824,2.4192,3.8784
"Anthony Davis",NO,208,114,1850,29.5,19,0.141,0.422,1.1157,3.3730,5.0335,7.6022
"Andre Iguodala",GS,198,97,1578,10.4,16.8,0.477,0.222,0.6084,0.7909,2.4639,3.4373
"Kyle Lowry",TOR,185,88,2213,19.6,34.8,0.613,0.263,0.4772,0.4121,2.5160,3.3403
"Luke Kennard",DET,196,93,1437,18.1,12.3,0.517,0.117,0.1670,0.2338,2.2046,3.3403
"Jeremy Lamb",CHA,196,83,2250,22.5,11.9,0.337,0.266,0.3200,1.0240,3.2640,4.3733
"Dion Waiters",MIA,193,97,1138,21.1,16.4,0.605,0.092,0.0844,0.2531,2.6573,1.9402
"Cory Joseph",IND,190,87,2063,13.7,20.7,0.312,0.078,0.3257,0.5351,2.6292,2.7455
"Wilson Chandler",PHI,206,102,951,11.2,9.9,0.57,0.087,0.7571,1.2618,2.3722,3.6341
"Rodney Hood",CLE,203,93,1234,19.1,11.5,0.335,0.251,0.1556,0.5057,1.6726,1.8671
"DeMarre Carroll",BKN,203,97,1703,18.6,7.2,0.539,0.421,1.0711,0.7892,3.2132,4.1433
"Justin Holiday",CHI,198,82,1325,15.2,9.1,0.685,0.117,0.0725,0.6158,2.2460,2.7894
"Lou Williams",LAC,185,79,1993,32.4,33,0.256,0.426,0.1927,0.7707,1.4932,2.6734
"Mikal Bridges",PHX,201,95,2417,12.2,9.8,0.556,0.21,0.3773,0.7348,1.7476,2.2044
"Klay Thompson",GS,201,97,2652,25.6,10.5,0.427,0.113,0.1991,0.4344,2.2805,2.3710
"Rudy Gay",SA,203,104,1842,22.1,14.7,0.247,0.197,0.3648,1.2248,3.8567,5.8893
"Kyle Kuzma",LAL,206,99,2314,23.8,11.5,0.388,0.23,0.5186,0.6638,2.6551,3.5678
"Kent Bazemore",ATL,196,91,1643,22,13.5,0.434,0.253,0.4090,0.6427,3.3597,2.8923
"Paul George",OKC,206,99,2841,29.5,17.7,0.469,0.335,0.5407,1.0982,3.7846,4.5956
"Ante Zizic",CLE,211,115,1082,18.2,7.7,0,0.399,1.0203,3.7264,3.7264,5.0573
"Reggie Bullock",DET,201,92,1355,16.7,12,0.667,0.145,0.3188,0.2834,1.9483,1.4878
"DeAndre' Bembry",ATL,198,95,1931,17.2,14.7,0.281,0.221,0.4723,0.8700,3.9772,3.1569
"Blake Griffin",DET,208,113,2622,30.2,27.1,0.389,0.41,0.5858,1.1167,3.1487,4.5400
"Mason Plumlee",DEN,211,106,1731,16.2,19.5,0.023,0.448,1.6083,2.9671,4.3258,5.2132
"LeBron James",LAL,203,113,1937,31.6,39.4,0.299,0.382,0.3717,0.9417,3.8162,5.5509
"Kyle Korver",UTAH,201,96,1083,18.7,8.6,0.722,0.14,0.0886,0.2659,2.1717,3.1025
"Alfonzo McKinnie",GS,203,97,1003,13.9,4,0.429,0.175,1.9143,1.9621,3.2542,3.8285
"Stanley Johnson",DET,201,111,961,19.1,9.4,0.519,0.146,0.3996,0.6993,3.2966,3.4964
"T.J. Warren",PHX,203,97,1360,22.7,7.7,0.295,0.203,0.1059,0.5294,1.3412,1.3059
"Gerald Green",HOU,201,92,1473,19.5,4.1,0.763,0.118,0.5214,0.4236,2.1507,2.4114
"Dante Cunningham",SA,203,104,928,8.9,6.8,0.411,0.114,0.7241,1.6034,2.6897,3.9828
"Joe Ingles",UTAH,203,102,2568,17.5,26.1,0.602,0.153,0.2243,0.3551,1.8131,3.5514
"Montrezl Harrell",LAC,203,108,2158,23.5,12.5,0.019,0.466,0.6895,3.2252,2.4022,4.3596
"Kyrie Irving",BOS,190,87,2214,29.6,35,0.35,0.197,0.6287,0.9106,2.2981,3.3171
"T.J. McConnell",PHI,188,86,1470,15,24.7,0.1,0.088,0.3918,0.4571,1.7306,2.9061
"Tomas Satoransky",WSH,201,95,2164,14.1,24.6,0.306,0.302,1.0203,0.7763,1.8854,2.3956
"Bryn Forbes",SA,190,86,2293,17.4,10.6,0.522,0.099,0.2093,0.1675,2.3027,2.1771
"Kelly Olynyk",MIA,213,108,1812,18,11.4,0.566,0.328,0.9536,0.9007,3.1788,4.1060
"Evan Turner",POR,201,99,1605,15.9,23.6,0.117,0.239,0.2393,0.8673,3.0804,4.7551
"Shabazz Napier",BKN,185,81,983,24,22.2,0.524,0.317,0.4395,0.3418,2.0020,1.9532
"Lonzo Ball",LAL,198,86,1423,16.9,23.8,0.5,0.105,0.5397,1.2143,2.8335,3.6093
"Kyle Anderson",MEM,206,104,1281,12.6,15,0.123,0.232,0.5621,1.1991,3.2225,3.5972
"Goran Dragic",MIA,190,86,991,23.7,27.3,0.379,0.233,0.2422,0.6781,1.6468,2.6640
"Kawhi Leonard",TOR,201,104,2040,30.3,16.4,0.267,0.377,0.8706,0.9412,3.0588,4.6824
"Caris LeVert",BKN,201,92,1063,24,23.2,0.319,0.255,0.6322,0.9031,1.8062,3.3866
"Tim Hardaway Jr.",NY,198,92,1499,25.9,13.5,0.464,0.321,0.1281,0.6724,1.9213,1.9853
"Joe Harris",BKN,198,98,2293,17,11.9,0.516,0.178,0.5024,0.5443,1.8421,2.9516
"Garrett Temple",MEM,198,88,1530,13.9,6.7,0.543,0.196,0.2196,0.3451,1.6000,2.1333
