Player,Team,Age,Height,Weight,UsageRate,AssistRate,ThreePtRate,FreeThrowRate,TotalFouls,TotalBlocks,OR3_per48,OR2_per48,DR3_per48,DR2_per48
"Iman Shumpert",SAC,28,196,97,15.2,10.7,0.58,0.118,92,20,0.3057,0.5241,1.9654,1.8781
"Goran Dragic",MIA,32,190,86,23.7,27.3,0.379,0.233,81,5,0.2422,0.6781,1.6468,2.6640
"Khris Middleton",MIL,27,203,100,25.1,20.1,0.413,0.225,172,7,0.2206,0.7020,3.3698,4.5533
"Ben Simmons",PHI,22,208,104,22.1,34.2,0.006,0.446,209,61,1.1200,1.9378,3.8222,4.6756
"Dwyane Wade",MIA,37,193,99,27.9,26.5,0.272,0.243,118,38,0.5857,1.1204,2.1390,3.1576
"Joe Ingles",UTAH,31,203,102,17.5,26.1,0.602,0.153,180,20,0.2243,0.3551,1.8131,3.5514
"Trey Lyles",DEN,23,208,106,23.4,11.3,0.404,0.234,93,23,0.6000,1.2429,3.0429,4.9286
"Dwight Powell",DAL,27,211,108,17.2,10.7,0.261,0.523,201,50,1.7040,2.3105,2.9458,4.2166
"Richaun Holmes",PHX,25,208,108,17.9,7.9,0,0.479,194,79,1.4595,3.1622,3.2838,4.5811
"Klay Thompson",GS,28,201,97,25.6,10.5,0.427,0.113,157,47,0.1991,0.4344,2.2805,2.3710
"Delon Wright",TOR,26,196,83,17.1,16.8,0.307,0.208,53,15,1.0167,0.9632,1.7659,2.5686
"Kyle Lowry",TOR,32,185,88,19.6,34.8,0.613,0.263,166,31,0.4772,0.4121,2.5160,3.3403
"Kelly Oubre Jr.",PHX,23,201,92,24.7,8.7,0.384,0.296,110,39,0.3661,1.3831,2.7661,2.8475
"Elfrid Payton",NO,24,190,83,18.3,33.5,0.255,0.18,81,17,0.4224,1.3824,2.4192,3.8784
"Antonio Blakeney",CHI,22,193,87,24.5,8.2,0.23,0.192,41,9,0.0579,0.2895,3.1846,2.3160
"Derrick White",SA,24,193,86,17.7,21,0.262,0.227,145,47,0.3056,0.6667,2.8056,3.0278
"PJ Tucker",HOU,33,198,111,9.5,4.6,0.74,0.113,252,39,1.1135,0.9422,2.3298,3.1349
"TJ Warren",PHX,25,203,97,22.7,7.7,0.295,0.203,119,29,0.1765,0.1765,0.8824,0.8118
"Emmanuel Mudiay",NY,22,196,90,25.6,24.2,0.284,0.251,103,19,0.4480,0.5078,1.9116,2.6285
"Torrey Craig",DEN,28,201,97,12.4,6.3,0.519,0.193,175,46,1.2774,1.4371,2.5549,2.4271
"DeMar DeRozan",SA,29,201,99,27.9,27.6,0.034,0.336,177,36,0.1250,0.7857,2.7857,3.9464
"Jrue Holiday",NO,28,193,92,25.4,31.8,0.313,0.234,148,54,0.3997,1.0791,2.5179,2.5179
"Juan Hernangomez",DEN,23,206,99,12.2,5.3,0.576,0.274,94,24,0.7776,1.3432,2.9337,3.6053
"Rudy Gay",SA,32,203,104,22.1,14.7,0.247,0.197,159,34,0.3648,1.2248,3.8567,5.8893
"Frank Ntilikina",NY,20,193,86,16.6,19.5,0.408,0.106,104,14,0.2124,0.3186,1.8584,1.6991
"Willy Hernangomez",CHA,24,211,108,22.1,11.5,0.132,0.488,98,20,1.7734,4.9064,4.4335,6.3251
"Solomon Hill",NO,27,201,102,10.4,7.6,0.567,0.18,80,10,0.6560,1.1481,2.1321,3.0068
"Shabazz Napier",BKN,27,185,79,24,22.2,0.524,0.317,67,16,0.4395,0.3418,2.0020,1.9532
"Gary Harris",DEN,24,193,92,20,11,0.38,0.226,113,19,0.3221,0.8200,1.5815,1.7865
"Jonas Jerebko",GS,31,208,104,15.2,10.1,0.53,0.225,137,18,1.1823,1.5764,3.0739,4.6897
"Elie Okobo",PHX,21,190,86,17,18.7,0.455,0.162,109,7,0.2004,0.4008,1.5031,2.6555
"OG Anunoby",TOR,21,203,105,15.5,4.7,0.5,0.153,140,22,0.8521,0.9941,1.5621,2.5917
"DeAndre Jordan",DAL,30,211,120,14.4,9.5,0,0.613,125,53,1.6988,3.2741,5.7143,9.5135
"Maximilian Kleber",DAL,27,211,108,13.5,6.8,0.565,0.192,143,78,1.0866,1.4061,2.6205,3.7390
"Kevin Durant",GS,30,208,108,29,26.2,0.281,0.366,155,84,0.2487,0.3198,3.3220,4.2813
"Bradley Beal",WSH,25,190,93,28.4,24.1,0.37,0.278,226,58,0.6816,0.6816,2.1083,2.7900
"Derrick Rose",MIN,30,190,90,27.3,26.4,0.194,0.212,57,12,0.4138,0.7241,1.3793,2.2414
"Cody Zeller",CHA,26,213,108,16.3,12.1,0.064,0.409,164,41,1.1971,3.0507,4.0933,4.0933
