,Player,Team,Age,Height,Weight,UsageRate,AssistRate,ThreePtRate,FreeThrowRate,TotalFouls,TotalBlocks,OR3_per48,OR2_per48,DR3_per48,DR2_per48,label
7,Dwight Powell,DAL,27,211,108,17.2,10.7,0.261,0.523,201,50,1.704,2.3105,2.9458,4.2166,1
8,Richaun Holmes,PHX,25,208,108,17.9,7.9,0.0,0.479,194,79,1.4595,3.1622,3.2838,4.5811,1
16,PJ Tucker,HOU,33,198,111,9.5,4.6,0.74,0.113,252,39,1.1135,0.9422,2.3298,3.1349,1
19,Torrey Craig,DEN,28,201,97,12.4,6.3,0.519,0.193,175,46,1.2774,1.4371,2.5549,2.4271,1
23,Rudy Gay,SA,32,203,104,22.1,14.7,0.247,0.19699999999999998,159,34,0.3648,1.2248,3.8567,5.8893,1
29,Jonas Jerebko,GS,31,208,104,15.2,10.1,0.53,0.225,137,18,1.1823,1.5764,3.0739,4.6897,1
31,OG Anunoby,TOR,21,203,105,15.5,4.7,0.5,0.153,140,22,0.8521,0.9941,1.5621,2.5917,1
32,DeAndre Jordan,DAL,30,211,120,14.4,9.5,0.0,0.613,125,53,1.6988,3.2741,5.7143,9.5135,1
33,Maximilian Kleber,DAL,27,211,108,13.5,6.8,0.565,0.192,143,78,1.0866,1.4061,2.6205,3.739,1
37,Cody Zeller,CHA,26,213,108,16.3,12.1,0.064,0.409,164,41,1.1971,3.0507,4.0933,4.0933,1
38,Jerami Grant,OKC,24,203,97,15.4,4.2,0.35600000000000004,0.26899999999999996,214,100,0.6248,1.0291,2.4441,3.0505,1
43,Dorian Finney-Smith,DAL,25,203,99,14.0,6.9,0.48100000000000004,0.195,186,36,1.3542,1.8136,2.7083,2.9743,1
47,Jahlil Okafor,NO,23,211,124,19.9,6.3,0.013999999999999999,0.24600000000000002,96,40,1.0781,2.9262,3.5936,5.7497,1
49,Jusuf Nurkic,POR,24,213,127,24.7,17.9,0.035,0.442,250,103,1.6049,4.1094,3.9635,7.7082,1
50,Deandre Ayton,PHX,20,216,113,21.2,9.6,0.005,0.217,209,67,1.0334,3.8039,3.8259,6.1567,1
56,Larry Nance Jr.,CLE,26,206,104,15.5,17.8,0.205,0.28,192,40,1.4708,2.9415,3.717,5.8563,1
58,JaVale McGee,LAL,31,213,122,20.2,4.8,0.019,0.237,208,148,1.2639,4.1652,4.3088,5.5727,1
