,Player,Team,Age,Height,Weight,UsageRate,AssistRate,ThreePtRate,FreeThrowRate,TotalFouls,TotalBlocks,OR3_per48,OR2_per48,DR3_per48,DR2_per48,label
1,Goran Dragic,MIA,32,190,86,23.7,27.3,0.379,0.233,81,5,0.2422,0.6781,1.6468,2.664,2
4,Dwyane Wade,MIA,37,193,99,27.9,26.5,0.272,0.243,118,38,0.5857,1.1204,2.139,3.1576,2
10,Delon Wright,TOR,26,196,83,17.1,16.8,0.307,0.20800000000000002,53,15,1.0167,0.9632,1.7659,2.5686,2
11,Kyle Lowry,TOR,32,185,88,19.6,34.8,0.613,0.263,166,31,0.4772,0.4121,2.516,3.3403,2
13,Elfrid Payton,NO,24,190,83,18.3,33.5,0.255,0.18,81,17,0.4224,1.3824,2.4192,3.8784,2
14,Antonio Blakeney,CHI,22,193,87,24.5,8.2,0.23,0.192,41,9,0.0579,0.2895,3.1846,2.316,2
15,Derrick White,SA,24,193,86,17.7,21.0,0.262,0.22699999999999998,145,47,0.3056,0.6667,2.8056,3.0278,2
18,Emmanuel Mudiay,NY,22,196,90,25.6,24.2,0.284,0.251,103,19,0.448,0.5078,1.9116,2.6285,2
21,Jrue Holiday,NO,28,193,92,25.4,31.8,0.313,0.23399999999999999,148,54,0.3997,1.0791,2.5179,2.5179,2
24,Frank Ntilikina,NY,20,193,86,16.6,19.5,0.408,0.106,104,14,0.2124,0.3186,1.8584,1.6991,2
27,Shabazz Napier,BKN,27,185,79,24.0,22.2,0.524,0.317,67,16,0.4395,0.3418,2.002,1.9532,2
30,Elie Okobo,PHX,21,190,86,17.0,18.7,0.455,0.162,109,7,0.2004,0.4008,1.5031,2.6555,2
36,Derrick Rose,MIN,30,190,90,27.3,26.4,0.19399999999999998,0.212,57,12,0.4138,0.7241,1.3793,2.2414,2
40,Russell Westbrook,OKC,30,190,90,30.9,46.5,0.27899999999999997,0.306,245,33,0.8395,1.1316,4.8,6.1871,2
48,Kris Dunn,CHI,24,190,92,20.1,30.0,0.19,0.136,166,21,0.1382,0.5184,3.1793,2.5227,2
54,Ricky Rubio,UTAH,28,193,86,22.7,32.1,0.348,0.312,180,10,0.3539,0.4297,1.6935,3.5893,2
55,Evan Turner,POR,30,201,99,15.9,23.6,0.11699999999999999,0.239,110,18,0.2393,0.8673,3.0804,4.7551,2
70,Jonathon Simmons,ORL,29,198,88,19.3,15.7,0.29,0.252,68,14,0.6817,0.6249,1.2497,3.0107,2
71,De'Anthony Melton,PHX,20,193,90,15.0,22.3,0.371,0.109,113,23,0.439,0.6829,2.0488,2.9756,2
75,Jalen Brunson,DAL,22,190,86,19.1,22.6,0.32,0.212,127,4,0.2112,0.4827,2.0515,2.2627,2
79,Tony Parker,CHA,36,188,83,25.5,33.3,0.11,0.268,53,7,0.1914,0.4786,1.3878,1.8664,2
84,Shelvin Mack,MEM,28,190,92,18.0,23.3,0.32899999999999996,0.193,81,4,0.0797,0.6379,1.7143,1.6346,2
99,De'Aaron Fox,SAC,21,190,83,24.5,33.2,0.21100000000000002,0.37799999999999995,204,45,0.132,0.641,2.5263,2.3755,2
107,Delon Wright,MEM,26,196,83,19.2,26.9,0.294,0.336,50,15,0.8379,0.9576,3.4713,2.6933,2
109,Jamal Crawford,PHX,38,196,83,20.8,27.7,0.461,0.251,75,12,0.1585,0.1585,1.2287,1.744,2
110,Kyrie Irving,BOS,26,188,88,29.6,35.0,0.35,0.19699999999999998,167,34,0.6287,0.9106,2.2981,3.3171,2
120,Lou Williams,LAC,32,185,79,32.4,33.0,0.256,0.426,80,11,0.1927,0.7707,1.4932,2.6734,2
122,Chris Paul,HOU,33,183,79,22.5,39.3,0.493,0.282,146,18,0.4394,0.4911,2.7399,3.1793,2
123,Tyus Jones,MIN,22,188,88,14.1,28.3,0.28300000000000003,0.155,78,5,0.0923,0.6154,1.3846,1.9385,2
131,Mike Conley,MEM,31,185,79,27.3,33.4,0.38,0.363,123,22,0.2254,0.5739,1.8651,2.2135,2
132,Cory Joseph,IND,27,190,90,13.7,20.7,0.312,0.078,131,22,0.3257,0.5351,2.6292,2.7455,2
136,Trae Young,ATL,20,188,81,28.4,40.5,0.384,0.33,140,15,0.3644,0.8246,2.2437,2.1095,2
139,John Wall,WSH,28,193,95,28.8,39.2,0.306,0.317,71,24,0.2609,0.3913,2.3913,1.9565,2
141,Darren Collison,IND,31,183,79,17.7,29.9,0.294,0.28800000000000003,138,9,0.3136,0.4928,1.9935,2.3294,2
147,Monte Morris,DEN,23,188,79,17.1,21.7,0.32299999999999995,0.115,102,4,0.3411,0.5117,1.8274,1.998,2
158,Shaun Livingston,GS,33,201,87,12.0,14.8,0.01,0.243,74,27,0.8935,1.1913,1.3899,2.2834,2
159,Zach LaVine,CHI,23,198,82,30.5,22.6,0.28300000000000003,0.33,140,26,0.2211,0.6191,2.6974,2.4542,2
161,Dennis Smith Jr.,DAL,21,188,88,23.3,24.1,0.35,0.23,82,11,0.3172,0.6344,1.533,2.5374,2
167,T.J. McConnell,PHI,26,188,86,15.0,24.7,0.1,0.08800000000000001,105,17,0.3918,0.4571,1.7306,2.9061,2
170,Eric Bledsoe,MIL,29,185,92,22.9,27.4,0.38799999999999996,0.243,156,29,0.7817,0.8451,2.9577,2.7887,2
171,Kemba Walker,CHA,28,183,78,31.5,29.4,0.434,0.267,131,34,0.2683,0.57,1.9783,3.0513,2
177,D'Angelo Russell,BKN,22,196,89,31.9,41.3,0.419,0.135,141,20,0.3333,0.7059,1.9804,3.1176,2
178,Jerian Grant,ORL,26,193,92,13.4,22.4,0.5,0.182,78,6,0.5623,0.3578,1.8914,2.0958,2
183,Ian Clark,NO,27,190,79,19.3,12.9,0.527,0.09699999999999999,95,8,0.2467,0.3947,1.628,2.0719,2
187,Devin Booker,PHX,22,198,95,32.9,34.1,0.33,0.36200000000000004,200,13,0.3211,0.4924,1.7128,2.9331,2
191,Rajon Rondo,LAL,32,185,84,17.4,35.5,0.32899999999999996,0.083,100,7,0.5259,0.6662,3.5062,3.4361,2
195,Damian Lillard,POR,28,188,88,29.3,30.6,0.419,0.335,148,34,0.592,0.5412,2.2495,2.7907,2
198,Tyler Johnson,MIA,26,193,86,19.2,14.9,0.509,0.21899999999999997,72,21,0.2992,0.5129,1.6242,2.65,2
203,George Hill,MIL,32,190,85,14.4,13.3,0.465,0.242,67,7,0.6013,0.8017,1.8539,2.8058,2
205,Stephen Curry,GS,30,190,86,30.4,24.2,0.604,0.214,166,25,0.4324,0.4942,3.0064,3.686,2
206,Jeff Teague,MIN,30,193,88,19.3,37.6,0.252,0.368,90,18,0.1899,0.4177,1.557,1.6709,2
209,Ish Smith,DET,30,183,79,19.9,25.4,0.276,0.127,109,11,0.2686,0.6523,1.9185,2.3405,2
212,D.J. Augustin,ORL,31,183,83,17.2,26.9,0.45899999999999996,0.309,115,4,0.2539,0.6135,1.6078,1.7558,2
219,Will Barton,DEN,28,196,79,20.0,14.6,0.426,0.161,82,22,0.2422,0.9285,3.1085,3.1892,2
227,Quinn Cook,GS,25,188,81,20.2,15.2,0.456,0.059000000000000004,92,3,0.272,0.6346,2.4023,3.7167,2
231,Fred VanVleet,TOR,24,183,88,17.9,23.9,0.493,0.192,110,20,0.3545,0.1909,1.6091,2.3182,2
232,Luka Doncic,DAL,19,201,98,30.5,31.6,0.433,0.409,137,25,0.6212,1.1389,4.1415,5.3011,2
239,Tim Frazier,NO,28,185,77,12.3,28.0,0.395,0.21,93,4,0.9505,0.6337,2.6931,2.429,2
244,LeBron James,LAL,34,203,113,31.6,39.4,0.299,0.382,94,33,0.3717,0.9417,3.8162,5.5509,2
256,Patty Mills,SA,30,183,81,18.5,17.6,0.609,0.155,129,10,0.2013,0.4025,1.9119,2.0126,2
258,Victor Oladipo,IND,26,193,95,27.9,25.2,0.36700000000000005,0.24,72,11,0.3766,0.5022,3.0549,4.4359,2
261,Dion Waiters,MIA,27,190,97,21.1,16.4,0.605,0.092,72,9,0.0844,0.2531,2.6573,1.9402,2
277,Yogi Ferrell,SAC,25,183,81,16.3,17.0,0.423,0.19,64,4,0.1799,0.4049,1.9794,2.1593,2
280,Terry Rozier,BOS,24,185,86,18.6,17.7,0.506,0.14,101,21,0.4556,0.3216,3.7521,3.5377,2
284,Lonzo Ball,LAL,21,198,86,16.9,23.8,0.5,0.105,114,19,0.5397,1.2143,2.8335,3.6093,2
290,Jeremy Lin,ATL,30,190,90,22.6,26.7,0.342,0.435,96,7,0.2393,0.4786,2.2014,2.4407,2
291,Caris LeVert,BKN,24,198,92,24.0,23.2,0.319,0.255,77,14,0.6322,0.9031,1.8062,3.3866,2
